id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15400,Bright Chelsea  Apartment. Chelsea!,60302,Philippa,,Kensington and Chelsea,51.4878,-0.16813,Entire home/apt,75,3,89,2020-03-16,0.61,1,4,0,
49970,Beautiful Small Studio Hammersmith,216660,Boris,,Hammersmith and Fulham,51.49462,-0.22923,Hotel room,77,1,93,2021-11-03,0.7,12,66,7,
93263,2 Bed 2 Bath Wimbledon Apartment,500558,William,,Merton,51.4175,-0.19643,Entire home/apt,97,90,25,2019-11-08,0.22,5,287,0,
378406,Double bedroom in SW London,1900844,Pippa,,Wandsworth,51.42533,-0.16834,Private room,36,4,0,,,2,0,0,
389125,Stylish Ensuite Room in house. - Maida Vale.,1946900,David,,Brent,51.53707,-0.19483,Private room,76,2,67,2021-09-17,0.57,1,358,2,
419786,"Kitchener House, Historic grounds",2087745,Tony,,Greenwich,51.47553,0.05903,Entire home/apt,250,14,0,,,2,365,0,
464789,August in east London,2309742,Gavin,,Hackney,51.54339,-0.02672,Entire home/apt,74,5,8,2013-08-18,0.07,1,0,0,
525339,"Stylish, Spacious Hampstead Heath Garden Flat",2582452,Geoff And Marianne,,Camden,51.55999,-0.16367,Entire home/apt,130,4,3,2019-06-23,0.03,1,39,0,
604687,Your Place in Little Venice; 15 mins to West End,2993971,Joel,,Westminster,51.52056,-0.17868,Entire home/apt,450,30,48,2019-12-27,0.43,2,279,0,
714723,2 Bed Garden Flat near Tower Bridge,3373659,Carolyn,,Tower Hamlets,51.50921,-0.06122,Entire home/apt,145,4,156,2021-10-04,1.41,1,162,2,
934366,Lovely Modern Quiet Studio Room,188138,Sylvan,,Hammersmith and Fulham,51.47967,-0.21127,Private room,55,2,200,2021-11-21,1.87,3,322,12,
1380655,Super Large Double Bedroom in N1,2103037,Zannet,,Lambeth,51.47818,-0.1169,Private room,60,7,0,,,1,365,0,
1486702,Best Room&Experience in Clapham Lon,6064766,Paulo,,Lambeth,51.46161,-0.13541,Private room,52,3,103,2020-02-02,1.02,1,331,0,
1787171,"Comfy, stylish loft in Angel/Kings Cross/Eurostar",9378956,Cem,,Islington,51.5319,-0.11291,Private room,66,2,7,2018-06-24,0.16,1,0,0,
