id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
15400,https://www.airbnb.com/rooms/15400,20211207182339,2021-12-09,Bright Chelsea  Apartment. Chelsea!,"Lots of windows and light.  St Luke's Gardens are at the end of the block, and the river not too far the other way. Ten minutes walk if you go slowly. Buses to everywhere round the corner and shops, restaurants, pubs, the cinema and Waitrose .<br /><br /><b>The space</b><br />Bright Chelsea Apartment <br /><br />This is a bright one bedroom ground floor apartment in an interesting listed building. There is one double bedroom and a living room/kitchen The apartment has a full <br />bathroom and the kitchen is fully equipped. Two wardrobes are available exclusively for guests and bedside tables and two long drawers.<br /><br />This sunny convenient compact flat is just around the corner from the Waitrose supermarket and all sorts of shops, cinemas, restaurants and pubs.  This is a lovely part of London.<br /><br />There is a fun farmers market in the King's Road at the weekend. <br /><br />Buses to everywhere are just round the corner, and two underground stations are within ten minutes ",It is Chelsea.,https://a0.muscache.com/pictures/428392/462d262a_original.jpg,60302,https://www.airbnb.com/users/show/60302,Philippa,2009-12-05,"Kensington, England, United Kingdom","English, grandmother,  I have travelled quite a lot.  I love being in different countries, as long as they are warm!.
 I enjoy preparing a clean comfortable flat with plenty of empty cupboards, as I would like to find things myself.
 Nowadays I like to travel by sea so it is a challenge getting to where I would like to go. But that is the fun of it!

",within a day,67%,50%,f,https://a0.muscache.com/im/users/60302/profile_pic/1348610590/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/60302/profile_pic/1348610590/original.jpg?aki_policy=profile_x_medium,Chelsea,1.0,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,"London, United Kingdom",Kensington and Chelsea,,51.4878,-0.16813,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Hot water"", ""Heating"", ""Coffee maker"", ""TV with standard cable"", ""Air conditioning"", ""Fire extinguisher"", ""Iron"", ""Luggage dropoff allowed"", ""Dryer"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Long term stays allowed"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cable TV"", ""Essentials"", ""Hangers"", ""Shampoo"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Dedicated workspace""]",$75.00,3,50,3.0,3.0,50.0,50.0,3.0,50.0,,t,0,0,0,4,2021-12-09,89,0,0,2009-12-21,2020-03-16,4.79,4.84,4.88,4.87,4.82,4.93,4.73,,f,1,1,0,0,0.61
49970,https://www.airbnb.com/rooms/49970,20211207182339,2021-12-09,Beautiful Small Studio Hammersmith,"<b>The space</b><br />A compact Holiday Studio in the heart of Hammersmith. Only 3 minute walk to underground Station, 2 minutes to Hammersmith Broadway offering a variety of restaurants,coffee shops, pubs & bars. Shopping centre only 2 minutes walk.<br /><br />Hammersmith is perfectly located with excellent transport links to to al parts of London ! Local attractions include HMV Appollo, Lyric theatre, Olympia exhibition as well as being only 10-20 minutes from other tourist attractions such as Westfield shopping centre, Kensington High street, Portobello Market, Kensington Gardens/ Hyde Park & the West End.<br /><br />Our beautiful studio is excellent value for money & will certainly exceed the expectations of a budget studio & modern accomodation at such a price.<br /><br />Ideal for young guests on a budget although a compact studio can sleep 2 persons on a short stay.<br /><br />It also includes : <br /><br />-En-suite Bathroom<br />-Open plan kitchen<br />-Satellite TV<br />-DVD<",,https://a0.muscache.com/pictures/9199724/23d50e86_original.jpg,216660,https://www.airbnb.com/users/show/216660,Boris,2010-08-29,"London, England, United Kingdom",I have several studios and apartments in London  Hammersmith. Should you have any questions please feel free to get in touch. I look forward to hearing from you. ,within a day,93%,64%,f,https://a0.muscache.com/im/pictures/user/bd588187-c697-4e62-85ed-dcf0b237d34c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bd588187-c697-4e62-85ed-dcf0b237d34c.jpg?aki_policy=profile_x_medium,Hammersmith,9.0,9.0,"['phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Hammersmith and Fulham,,51.49462,-0.22923,Room in serviced apartment,Hotel room,2,,1 private bath,1.0,1.0,"[""Hot water"", ""Heating"", ""TV with standard cable"", ""First aid kit"", ""Fire extinguisher"", ""Iron"", ""Luggage dropoff allowed"", ""Dryer"", ""Hair dryer"", ""Host greets you"", ""Stove"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Long term stays allowed"", ""Kitchen"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Cable TV"", ""Essentials"", ""Smoke alarm"", ""Free street parking"", ""Pool"", ""Hangers"", ""Bed linens"", ""Shampoo"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Dedicated workspace"", ""Crib""]",$77.00,1,730,1.0,3.0,730.0,730.0,1.1,730.0,,t,12,14,14,66,2021-12-09,93,7,0,2010-12-29,2021-11-03,4.66,4.71,4.79,4.9,4.73,4.76,4.61,,f,12,10,1,0,0.7
93263,https://www.airbnb.com/rooms/93263,20211207182339,2021-12-09,2 Bed 2 Bath Wimbledon Apartment,"Apartment available, less than 2 minute walk to underground station (northern line) 30 minutes to central London, 5 minutes to Wimbledon centre, <br />10 minute drive to the all England Tennis Club.  Good bars and restaurants near by. Two supermarkets within 2 minute walk. The modern apartment has two bathrooms Wifi + TV living room, kitchen, 2 comfortable double beds, parking space available by request for long term bookings.<br /><br /><b>The space</b><br />A private apartment is available in leafy area of south west London.  This is the perfect place to stay if you love tennis as the property is only a short distance away from the famous Wimbledon all England tennis club  (10 minutes).  Plus the nearest tube is just a 2 minute walk away  (Northern Line) which has direct links to the centre of London ( Leicester Square, Euston, London Bridge, St Pancras etc..) and will only take 25 minutes.  <br /><br />The apartment comes with two comfortable double beds with towels and linen provid",quiet safe neighbourhood,https://a0.muscache.com/pictures/fd18c614-0beb-4808-a4d1-3e422936fe73.jpg,500558,https://www.airbnb.com/users/show/500558,William,2011-04-11,"London, England, United Kingdom","You are very welcome to come and stay at my apartment. If you have any questions  please send me a message and I will happily get back to you as soon as possible. 
",within a few hours,91%,93%,f,https://a0.muscache.com/im/users/500558/profile_pic/1431035082/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/500558/profile_pic/1431035082/original.jpg?aki_policy=profile_x_medium,Wimbledon,12.0,12.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"London, United Kingdom",Merton,,51.4175,-0.19643,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,"[""Hot water"", ""Heating"", ""TV with standard cable"", ""First aid kit"", ""Fire extinguisher"", ""Iron"", ""Free parking on premises"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cable TV"", ""Essentials"", ""Smart lock"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Hangers"", ""Bed linens"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace""]",$97.00,90,360,90.0,90.0,360.0,360.0,90.0,360.0,,t,3,27,57,287,2021-12-09,25,0,0,2012-07-09,2019-11-08,4.35,4.54,3.83,4.67,4.67,4.67,4.29,,f,5,5,0,0,0.22
378406,https://www.airbnb.com/rooms/378406,20211207182339,2021-12-09,Double bedroom in SW London,"Lovely double bedroom in shared 2 bed garden flat in Tooting. Quiet and homely with private garden. 5 min walk to tube and great public transport links to C. London / Gatwick / Luton airport. Close to local shops, bars and restaurants and supermarket<br /><br /><b>The space</b><br />Small double bedroom available in lovely, homely and very comfortable 2 double bedroom garden flat in Tooting Broadway (SW London) available for rent from 8 December 2014<br /><br />You will be sharing the property with me, the owner. The flat is very well connected by transport links - it is a 30min tube or train journey to Central London and there are also excellent bus connections. The room sleeps 1 or 2 adults. All towels and bedlinen provided. <br /><br />The property is fully furnished and is warm and cosy. you will have full use of the good sized living room (with gas fire, TV, DVD, stereo and Wifi), large bathroom with a good, hot shower and bath as well as the spacious kitchen which has a dishwashe",,https://a0.muscache.com/pictures/28575034/483d64ce_original.jpg,1900844,https://www.airbnb.com/users/show/1900844,Pippa,2012-03-11,"London, England, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/cd6e4c96-b8f4-4d4c-9c55-c57bb4a4f437.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cd6e4c96-b8f4-4d4c-9c55-c57bb4a4f437.jpg?aki_policy=profile_x_medium,Upper Tooting,2.0,2.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Wandsworth,,51.42533,-0.16834,Private room in rental unit,Private room,2,,1 bath,1.0,1.0,"[""Washer"", ""Heating"", ""Long term stays allowed"", ""TV"", ""Smoke alarm"", ""Wifi"", ""Indoor fireplace"", ""Kitchen""]",$36.00,4,28,4.0,4.0,28.0,28.0,4.0,28.0,,t,0,0,0,0,2021-12-09,0,0,0,,,,,,,,,,,f,2,1,1,0,
389125,https://www.airbnb.com/rooms/389125,20211207182339,2021-12-09,Stylish Ensuite Room in house. - Maida Vale.,"GUEST ROOM: <br /> <br />Spacious double bedroom available in our modern 3 bedroom house. The room has a king size bed and plenty of storage space (double wardrobe and draw space). The room has an en-suite WC and shower. Towels and bed linen are provided. The room also has a CD player and radio alarm. It can accommodate a single guest or a couple. <br /> <br />AMENITIES: <br /> <br />- Wifi internet <br />- Bed linen and towels provided <br />- Kitchen with washing machine <br />- Family/child friendly <br />- Central heating <br /> <br />TRANSPORT: <br /> <br />- 5 mins walk to Maida Vale Underground <br />- 2 min from local bus stop, with buses that go to Marble Arch, Victoria and Oxford Street. Journeys take a maximum of 10 minutes. <br /> <br />LOCATION: <br /> <br />We live on a quiet cobbled street in affluent area. There is a variety of restaurants offering different cuisines. There are also the usual high street shops and supermarkets, like M&S, Tesco and Boots Pharmacy. <br />","10 mins walk to Thai Basil for good and cheap Thai. 5 mins walk to good Middle Eastern food or good Franco manca Pizza. 3 mins walk to Carluccio for good and hearty 12 pounds buffet breakfast.  Between 5-10mins to Tesco, Sainsbury, marks and Spencer,  boots pharmacy,  one pound shop, Costa and Starbucks.",https://a0.muscache.com/pictures/77fded5a-62b2-47d6-9e9b-a9a5c94d44c4.jpg,1946900,https://www.airbnb.com/users/show/1946900,David,2012-03-17,"London, England, United Kingdom","Professional male working in Sales and Marketing in the Hospitality sector. I'm Scottish and have been living in London for 12 years. I'm in my early 40's, easy going and fun loving.",within an hour,100%,78%,f,https://a0.muscache.com/im/pictures/user/55e4441f-c9d0-4143-a721-1a16989a949c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/55e4441f-c9d0-4143-a721-1a16989a949c.jpg?aki_policy=profile_x_medium,Maida Vale,1.0,1.0,"['email', 'phone', 'facebook', 'reviews']",t,t,"London, United Kingdom",Brent,,51.53707,-0.19483,Private room in townhouse,Private room,2,,1 private bath,1.0,1.0,"[""Hot water"", ""Heating"", ""TV with standard cable"", ""Air conditioning"", ""First aid kit"", ""Iron"", ""Lock on bedroom door"", ""Dryer"", ""Hair dryer"", ""Host greets you"", ""Stove"", ""Oven"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Long term stays allowed"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cable TV"", ""Essentials"", ""Smoke alarm"", ""Free street parking"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Washer"", ""Refrigerator"", ""Dishes and silverware""]",$76.00,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,23,53,83,358,2021-12-09,67,2,0,2012-03-26,2021-09-17,4.83,4.86,4.84,4.82,4.8,4.75,4.79,,t,1,0,1,0,0.57
419786,https://www.airbnb.com/rooms/419786,20211207182339,2021-12-10,"Kitchener House, Historic grounds","<b>The space</b><br />Presenting a Luxury Flat in private secure grounds amidst grade II historic architecture at the Woolwich Academy. <br /> <br />The Flat contains extensive amenities and is within 5 minutes of the venues at Woolwich (Woolwich) is a district in south London, England, located in the Royal Borough of Greenwich) and 15 minutes from those at Greenwich town centre. <br /> <br />Greenwich is notable for its maritime history and for giving its name to the Greenwich Meridian (0° longitude) and Greenwich Mean Time. The town became the site of a royal palace, the Palace of Placentia from the 15th century, and was the birthplace of many in the House of Tudor, including Henry VIII and Elizabeth I. <br /> <br />Excellent transport Links with the Tube, Overground, DLR (The Docklands Light Railway is an automated light metro or light rail system opened in 1987 to serve the redeveloped Docklands area of London.[1][2] It covers several areas of London, reaching north to Stratford, s",,https://a0.muscache.com/pictures/4784704/fd75301c_original.jpg,2087745,https://www.airbnb.com/users/show/2087745,Tony,2012-04-07,"Royal Borough of Greenwich, London Se18 4AT","I am a London teacher and parent of 4 children. Love sport, travelling and my Home!",,,,f,https://a0.muscache.com/im/users/2087745/profile_pic/1333809655/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2087745/profile_pic/1333809655/original.jpg?aki_policy=profile_x_medium,RB of Greenwich,2.0,2.0,"['email', 'phone']",t,f,,Greenwich,,51.47553,0.05903,Entire rental unit,Entire home/apt,5,,1 bath,1.0,2.0,"[""Washer"", ""Elevator"", ""Heating"", ""TV with standard cable"", ""Cable TV"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen"", ""Dryer""]",$250.00,14,21,14.0,14.0,21.0,21.0,14.0,21.0,,t,30,60,90,365,2021-12-10,0,0,0,,,,,,,,,,,f,2,1,1,0,
464789,https://www.airbnb.com/rooms/464789,20211207182339,2021-12-09,August in east London,"Probably the best view in east London, overlooking the Olympic Park, now available for a week in August. Discount offered for a week booking.<br /><br /><b>The space</b><br />The flat is available for a week in August, with a minimum stay of 5 day preferred.<br /><br />Here's a bit about the flat:<br /><br />It's got the most fantastic views over London. You can see all the landmarks, from Canary Wharf, over the Gherkin, to the London Eye.  Best is the view over the new Olympic Park - spectacular. <br /><br />It's a newly-built flat just 5 minutes walking distance to Olympic Stadium, 10 mins to the Aquatic Centre. Located in Hackney Wick on the 9th floor, sitting room has floor to ceiling windows, and a south facing balcony. The flat is filled with light. Modern kitchen and bathroom with all the things you'd expect.<br /><br />Hackney Wick, is filled with artists' studios, and old warehouses, with a few busy places for coffee, drinks and food, including The Hackney Pearl, Foremans, and","Warehouse spaces, artists studios, cool cafes and bars, easy access to the canal, Victoria Park, and the Olympic Village.",https://a0.muscache.com/pictures/11207050/e6b8780e_original.jpg,2309742,https://www.airbnb.com/users/show/2309742,Gavin,2012-05-07,London,"Live and work in London as a publisher, working with artists - mainly. Reading, cooking, pubs, bars, streets of London, all pastimes. Have a 9 year old daughter, and am recently married to Louise. Travel to cities, but have been found in Havana heading to the beach in a Buick. Less new to airbnb, and quite like the simplicity of it. ",,,,f,https://a0.muscache.com/im/users/2309742/profile_pic/1338245516/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2309742/profile_pic/1338245516/original.jpg?aki_policy=profile_x_medium,LB of Hackney,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,"London, England, United Kingdom",Hackney,,51.54339,-0.02672,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Washer"", ""Elevator"", ""Heating"", ""Essentials"", ""TV"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Dryer""]",$74.00,5,13,5.0,5.0,13.0,13.0,5.0,13.0,,t,0,0,0,0,2021-12-09,8,0,0,2012-08-01,2013-08-18,4.6,4.63,3.88,4.63,4.63,4.5,4.75,,f,1,1,0,0,0.07
525339,https://www.airbnb.com/rooms/525339,20211207182339,2021-12-09,"Stylish, Spacious Hampstead Heath Garden Flat","Our stylish Garden Flat is located in a very quiet Hampstead street backing onto Hampstead Heath with its 600 acres of ancient woodlands and wildlife.  Nearby is the small village with cafes, shops and pubs, with Hampstead High Street a few minutes walk away.  The flat is quiet, calm, spacious with a private patio for dining or relaxing.<br /><br /><b>The space</b><br />Our garden flat is a stylish mix of modern and period with large, bright bedroom, spacious living space with dining table seating six, leading on to a private patio, large shared garden and direct access to Hampstead Heath.  Just a few minutes away is Parliament Hill with its iconic views over London, and beyond, you can explore the acres of woodland, park and ponds of the Heath.  The famous Kenwood House is nearby.<br /><br /><b>Guest access</b><br />Various public transport links close by take you to central London, and other areas of interest including Camden Town, Dalston, Docklands, and as far out as Richmond on Th","There are many things in Hampstead to attract tourists but it is also a friendly village of residents who love and support their neighbourhood.   Just minutes away is the hustle and bustle of South End Green's enclave  of restaurants, cafes,shops, bars and transport services.  Keat's House, The Freud Museum, historic pubs serving wonderful food and traditional ales are just some of the immediate attractions.  Nearby are cinemas and theatres,  swimming pools and a gym.  It's a short bus ride to Camden's famous covered markets, music venues and nightlife.  Central London is a bus or tube ride away.",https://a0.muscache.com/pictures/f78a38d4-8b51-40f0-b0fa-0b65cb418a5c.jpg,2582452,https://www.airbnb.com/users/show/2582452,Geoff And Marianne,2012-06-08,London,"Geoff is a TV director and Marianne is an actor.  We love travelling, going to the theatre, cinema, meeting friends for a pint in our local pub and jogging/walking on Hampstead Heath.  Marianne is a vegan and Geoff eats everything and is a great cook.  Marianne loves reading and Geoff loves watching TV but we both love cosy nights in with a DVD and a glass of wine.",,,,f,https://a0.muscache.com/im/users/2582452/profile_pic/1409527283/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2582452/profile_pic/1409527283/original.jpg?aki_policy=profile_x_medium,Hampstead,1.0,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,"London, United Kingdom",Camden,,51.55999,-0.16367,Entire condominium (condo),Entire home/apt,2,,1 bath,1.0,1.0,"[""Hot water"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Iron"", ""Dining table"", ""Outdoor furniture"", ""Backyard"", ""Indoor fireplace"", ""Bower and Wilkins Bluetooth speaker Bluetooth sound system"", ""Dryer"", ""Host greets you"", ""Neff  oven"", ""Rice maker"", ""Stove"", ""Freezer"", ""Cleaning products"", ""Wifi"", ""Body soap"", ""Cooking basics"", ""Long term stays allowed"", ""Kitchen"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""36\"" HDTV with Netflix, Roku"", ""Wine glasses"", ""Central heating"", ""Essentials"", ""Ethernet connection"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Smoke alarm"", ""Toaster"", ""Bathtub"", ""Hangers"", ""Shower gel"", ""Bed linens"", ""Dishwasher"", ""Hot water kettle"", ""Refrigerator"", ""Baking sheet"", ""Dishes and silverware"", ""Single level home""]",$130.00,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,0,9,39,39,2021-12-09,3,0,0,2014-09-25,2019-06-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.03
604687,https://www.airbnb.com/rooms/604687,20211207182339,2021-12-09,Your Place in Little Venice; 15 mins to West End,"Enjoy your own flat in a Victorian townhouse from the 1840's.  You have your own entrance into the annex that was a corner shop for 120 years.  We're turned it into a comfortable and spacious two bedroom flat, where we once lived ourselves.<br /><br />Very conveniently located to the West End and Central London, but in a quiet residential neighbourhood of canals, villas and mansion blocks.<br /><br /><b>The space</b><br />A two bedroom flat with great access to the center of London.  Located near Paddington Station and the canals of Little Venice and Maida Vale.  A residential leafy area minutes from the West End.<br /><br />It's 15 minutes from the door to Oxford Circus.  Quick access from Heathrow Airport on the Heathrow Express.  Minutes from the Circle, District, Hammersmith & City and Bakerloo underground lines.  A short tube ride to Westfield shopping center; a 20 minute stroll to Portobello market or Regents park.<br /><br />The flat has its own entrance.  It began life as a cor","This is a residential neighbourhood that is very close to the restaurants, shops and entertainment of the West End.  It's a few minutes walk to the canals, or coffee shops and restaurants of Maida Vale/Little Venice.",https://a0.muscache.com/pictures/92571423/3611a543_original.jpg,2993971,https://www.airbnb.com/users/show/2993971,Joel,2012-07-19,"London, England, United Kingdom","I am American whose been living in london for the last 22 years. I've had this property for 18 years and used to live in it. 

I spend a lot of time travelling but also love coming home.   

",within a day,100%,,t,https://a0.muscache.com/im/users/2993971/profile_pic/1342738900/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2993971/profile_pic/1342738900/original.jpg?aki_policy=profile_x_medium,Paddington,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'jumio', 'government_id']",t,t,"London, United Kingdom",Westminster,,51.52056,-0.17868,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,"[""Hot water"", ""Heating"", ""Coffee maker"", ""TV with standard cable"", ""First aid kit"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Iron"", ""Dryer"", ""Hair dryer"", ""Host greets you"", ""Room-darkening shades"", ""Stove"", ""Oven"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Kitchen"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Cable TV"", ""Essentials"", ""Smoke alarm"", ""Hangers"", ""Dishwasher"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Dedicated workspace"", ""Crib""]",$450.00,30,365,5.0,30.0,365.0,365.0,25.8,365.0,,t,0,0,4,279,2021-12-09,48,0,0,2012-10-10,2019-12-27,4.87,4.98,4.98,4.96,4.98,4.85,4.89,,f,2,2,0,0,0.43
714723,https://www.airbnb.com/rooms/714723,20211207182339,2021-12-09,2 Bed Garden Flat near Tower Bridge,"Lovely, excellently-located garden flat close to Tower Bridge (10-15 minute walk) and the Tower of London.   <br /> <br />The flat is spread over 2 floors (ground and basement) of a Victorian house.  On the ground floor is a fully equipped kitchen and breakfast bar, leading into a living room complete with dining table.  The living room leads out to a large whitewashed private garden, with table and chairs and gas barbecue. <br /> <br />Downstairs are two double bedrooms and a bathroom.  The flat sleeps 4, and there is a single air bed for a 5th person. <br /> <br />TV and cable are provided, as is WiFi.  There is a DVD player and TV in the master bedroom.  There is a stereo system into which an iPod can be plugged.  There is gas central heating and on demand hot water.   There is a washer dryer and dishwasher in the kitchen. <br /> <br />Nearest tube station is Tower Hill (District and Circle line) - 10 min walk. <br /> <br />Closer still is Shadwell station (1-2 min walk), which is o",,https://a0.muscache.com/pictures/miso/Hosting-714723/original/508a642a-28c3-4c84-8411-214000e8a855.jpeg,3373659,https://www.airbnb.com/users/show/3373659,Carolyn,2012-08-26,"London, England, United Kingdom and New York, USA","I'm Carolyn, a lawyer, and I live between London and New York with my husband and two little boys.   I'm English, my husband Danny is a New Yorker, and we live in both of our countries because we love both places and can't choose between them!  So for now, we travel back and forth and rack up a lot of air miles.  We rent out our London home to Airbnb guests when we are not there.  So it's a working home with everything you could need for a comfortable stay!  We hope you love staying there as much as we do.",within a day,100%,78%,t,https://a0.muscache.com/im/pictures/user/2e065dc2-5470-474d-81a7-6a6d3dd1a1e7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2e065dc2-5470-474d-81a7-6a6d3dd1a1e7.jpg?aki_policy=profile_x_medium,Whitechapel/Brick Lane,1.0,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t,,Tower Hamlets,,51.50921,-0.06122,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Hot water"", ""Heating"", ""Coffee maker"", ""Game console: Nintendo Wii"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Iron"", ""Dining table"", ""Outdoor furniture"", ""Backyard"", ""Luggage dropoff allowed"", ""Dryer"", ""Hair dryer"", ""Room-darkening shades"", ""Stove"", ""Freezer"", ""Oven"", ""Cleaning products"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Long term stays allowed"", ""Kitchen"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Wine glasses"", ""Cable TV"", ""Essentials"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Smoke alarm"", ""Toaster"", ""Shared gym nearby"", ""Bathtub"", ""Laundromat nearby"", ""Clothing storage: dresser"", ""Extra pillows and blankets"", ""Hangers"", ""Shower gel"", ""Bed linens"", ""Dishwasher"", ""Shampoo"", ""Washer"", ""HDTV with Netflix, standard cable"", ""Hot water kettle"", ""Refrigerator"", ""Baking sheet"", ""Dishes and silverware"", ""Window guards"", ""Dedicated workspace"", ""Crib""]",$145.00,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,5,35,48,162,2021-12-09,156,2,0,2012-11-05,2021-10-04,4.75,4.86,4.86,4.86,4.92,4.34,4.66,,f,1,1,0,0,1.41
